Energy (eV),Wavelength (nm),e1,e2,n,k
1.290583,960.805969,2.246349,0.000009,1.498783,0.000003
1.288488,962.368286,2.246295,0.000009,1.498765,0.000003
1.2864,963.930542,2.246241,0.000009,1.498746,0.000003
1.284319,965.492554,2.246187,0.000009,1.498728,0.000003
1.282244,967.054504,2.246133,0.000009,1.49871,0.000003
1.280177,968.616211,2.246079,0.000009,1.498692,0.000003
1.278116,970.177856,2.246025,0.000009,1.498674,0.000003
1.276062,971.739258,2.245971,0.000009,1.498657,0.000003
1.274016,973.300476,2.245918,0.000009,1.498639,0.000003
1.271975,974.861633,2.245864,0.000009,1.498621,0.000003
1.269942,976.422546,2.245811,0.000009,1.498603,0.000003
1.267915,977.983398,2.245758,0.000009,1.498585,0.000003
1.265895,979.544067,2.245705,0.000009,1.498568,0.000003
1.263882,981.104492,2.245652,0.000009,1.49855,0.000003
1.261875,982.664734,2.245599,0.000009,1.498532,0.000003
1.259875,984.224915,2.245546,0.000009,1.498515,0.000003
1.257881,985.784851,2.245494,0.00001,1.498497,0.000003
1.255894,987.344727,2.245441,0.00001,1.49848,0.000003
1.253913,988.904297,2.245389,0.00001,1.498462,0.000003
1.251939,990.463745,2.245337,0.00001,1.498445,0.000003
1.249971,992.023132,2.245284,0.00001,1.498427,0.000003
1.248009,993.582336,2.245232,0.00001,1.49841,0.000003
1.246054,995.141296,2.24518,0.00001,1.498393,0.000003
1.244105,996.700073,2.245128,0.00001,1.498375,0.000003
1.242163,998.258667,2.245076,0.00001,1.498358,0.000003
1.240227,999.8172,2.245025,0.00001,1.498341,0.000003
