Energy (eV),Wavelength (nm),n,k,e1,e2
0.922657,1343.944458,1.446419,0,2.092129,0
0.920303,1347.382568,1.44638,0,2.092015,0
0.91796,1350.821045,1.446341,0,2.091901,0
0.915629,1354.259766,1.446301,0,2.091788,0
0.91331,1357.69873,1.446262,0,2.091674,0
0.911002,1361.137939,1.446223,0,2.09156,0
0.908706,1364.577393,1.446183,0,2.091446,0
0.906421,1368.017212,1.446144,0,2.091333,0
0.904148,1371.457153,1.446105,0,2.091219,0
0.901886,1374.897217,1.446065,0,2.091105,0
0.899634,1378.337646,1.446026,0,2.090991,0
0.897394,1381.778198,1.445987,0,2.090878,0
0.895165,1385.218994,1.445947,0,2.090764,0
0.892947,1388.659912,1.445908,0,2.09065,0
0.89074,1392.101074,1.445869,0,2.090536,0
0.888543,1395.542236,1.445829,0,2.090422,0
0.886358,1398.983765,1.44579,0,2.090308,0
0.884183,1402.425293,1.44575,0,2.090194,0
0.882018,1405.867065,1.445711,0,2.090081,0
0.879864,1409.308838,1.445672,0,2.089967,0
0.87772,1412.750854,1.445632,0,2.089853,0
0.875587,1416.192871,1.445593,0,2.089739,0
0.873464,1419.63501,1.445554,0,2.089625,0
0.871351,1423.077393,1.445514,0,2.089511,0
0.869248,1426.519653,1.445475,0,2.089397,0
0.867156,1429.962036,1.445436,0,2.089284,0
0.865073,1433.404541,1.445396,0,2.08917,0
0.863001,1436.846924,1.445357,0,2.089056,0
0.860938,1440.289551,1.445317,0,2.088942,0
0.858885,1443.732178,1.445278,0,2.088828,0
0.856842,1447.174805,1.445238,0,2.088714,0
0.854808,1450.617432,1.445199,0,2.0886,0
0.852785,1454.060059,1.44516,0,2.088486,0
0.85077,1457.502686,1.44512,0,2.088373,0
0.848765,1460.945313,1.445081,0,2.088259,0
0.84677,1464.387939,1.445042,0,2.088145,0
0.844784,1467.830444,1.445002,0,2.088031,0
